projectName,sampleType,sampleIdTag,numberOfSamples,sampleSourceLocation,broughtBy,receivedDateTime,receptionistName,feedingStatus,parasiteStage,storageCondition,externalOrganization,countryOfOrigin,collectionMethod,specimenCondition,remarks
Malaria Genomic Surveillance 2024,Whole Blood,Ach 21-FY001,10 tubes,Jimma Zone Oromia Region,Dr. Abebe UoG Research Team,2024-06-15 09:30,Tigist Hailu,,,4C,UoG,Ethiopia,Venipuncture,Good,Priority samples for WHO study
Malaria Genomic Surveillance 2024,Dried Blood Spots (DBS),Ach 21-FY002,2 boxes,Jimma Zone Oromia Region,Dr. Abebe UoG Research Team,2024-06-15 09:30,Tigist Hailu,,Ring stage,Room Temperature,UoG,Ethiopia,,Good,
Leishmaniasis Field Study,Serum,LES-2024-001,5 tubes,Gondar District,WHO Field Team,2024-06-16 10:00,Mesfin Tadesse,,,-80C,WHO,Ethiopia,Venipuncture,Good,
Leishmaniasis Field Study,Plasma,LES-2024-002,3 tubes,Gondar District,WHO Field Team,2024-06-16 10:00,Mesfin Tadesse,,,-80C,WHO,Ethiopia,Venipuncture,Good,
Vector Surveillance Program,Colony mosquito,VEC-2024-001,1 bag (50 specimens),Insectary Facility,Lab Technician,2024-06-17 08:00,Hana Bekele,Unfed,,Room Temperature,,Ethiopia,Colony bred,Good,Control mosquitoes for resistance testing
Vector Surveillance Program,Wild mosquito,VEC-2024-002,2 boxes,Amhara Region Collection Site,Field Team A,2024-06-17 14:30,Hana Bekele,Blood-fed,,-20C,,Ethiopia,Light trap,Good,Collected during rainy season
Vector Surveillance Program,Mosquito head and thorax,VEC-2024-003,20 tubes,Lab Processing,Lab Technician,2024-06-18 09:00,Hana Bekele,,,-80C,,Ethiopia,Dissection,Good,For sporozoite detection
Vector Surveillance Program,Mosquito abdomen,VEC-2024-004,20 tubes,Lab Processing,Lab Technician,2024-06-18 09:00,Hana Bekele,,,-80C,,Ethiopia,Dissection,Good,Paired with head/thorax samples
Sleeping Sickness Investigation,Sandfly,SF-2024-001,1 bag,Gambella Region,Dr. Solomon Research Team,2024-06-19 11:00,Mesfin Tadesse,,,-20C,FMOH,Ethiopia,CDC trap,Good,
Sleeping Sickness Investigation,Tsetse fly,TF-2024-001,15 specimens,Gambella Region,Dr. Solomon Research Team,2024-06-19 11:00,Mesfin Tadesse,Fed,,-20C,FMOH,Ethiopia,Biconical trap,Good,For trypanosome detection
Malaria Clinical Trial,Cell pellets,MCT-2024-001,5 tubes,Adama Hospital,Clinical Trial Coordinator,2024-06-20 08:30,Tigist Hailu,,Gametocyte,-80C,,Ethiopia,Blood processing,Good,Trial participant samples
Malaria Clinical Trial,Cultured parasites,MCT-2024-002,3 flasks,Malaria Research Lab,Lab Supervisor,2024-06-20 14:00,Tigist Hailu,,30-40 pf,37C incubator,,Ethiopia,In vitro culture,Good,Reference strain culture
Skin Leishmaniasis Study,Skin slit smear,SLS-2024-001,10 slides,Dermatology Clinic Gondar,Dr. Meron,2024-06-21 10:00,Mesfin Tadesse,,,Room Temperature,UoG,Ethiopia,Skin slit,Good,
Skin Leishmaniasis Study,Biopsy,SLS-2024-002,5 specimens,Dermatology Clinic Gondar,Dr. Meron,2024-06-21 10:00,Mesfin Tadesse,,,-80C,UoG,Ethiopia,Punch biopsy,Good,
Skin Leishmaniasis Study,Microbiopsy,SLS-2024-003,8 specimens,Dermatology Clinic Gondar,Dr. Meron,2024-06-21 10:00,Mesfin Tadesse,,,-80C,UoG,Ethiopia,Microbiopsy needle,Good,
Visceral Leishmaniasis Study,Tissue Aspirate,VLS-2024-001,3 tubes,Metema Hospital,Dr. Hailu Specialist Team,2024-06-22 09:00,Mesfin Tadesse,,,-80C,FMOH,Ethiopia,Splenic aspirate,Good,High priority - suspected VL case
Molecular Diagnostics Project,DNAShield,MDP-2024-001,10 tubes,Multiple Field Sites,Sample Courier,2024-06-23 08:00,Hana Bekele,,,Room Temperature,WHO,Kenya,Various,Good,Preserved field samples
Molecular Diagnostics Project,RNA protect,MDP-2024-002,5 tubes,Multiple Field Sites,Sample Courier,2024-06-23 08:00,Hana Bekele,,,-20C,WHO,Uganda,Various,Good,For gene expression studies
Parasite Culture Bank,Cell culture,PCB-2024-001,4 flasks,Malaria Research Lab,Lab Manager,2024-06-24 10:00,Tigist Hailu,,,37C incubator,,Ethiopia,Culture passaging,Good,Bank stock replenishment
Parasite Culture Bank,Tissue in saline,PCB-2024-002,2 tubes,Tissue Processing Lab,Lab Technician,2024-06-24 14:00,Tigist Hailu,,,4C,,Ethiopia,Tissue extraction,Good,For primary culture establishment
